name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;176;0;163;3065;999;3065;976;0
header;149;139;149;177;1768;177;1768;139
A;954;194;954;197;956;197;956;194
B;430;309;430;364;468;364;468;309
B;935;310;935;364;982;364;982;310
C;573;493;573;538;610;538;610;493
C;729;494;729;537;758;537;758;494
D;928;494;928;538;963;538;963;494
B;619;495;619;535;647;535;647;495
C;892;495;892;536;918;536;918;495
A;471;495;471;538;488;538;488;495
B;842;495;842;536;876;536;876;495
A;471;569;471;569;471;569;471;569
A;592;948;592;948;592;948;592;948
A;948;1429;948;1458;972;1458;972;1429
A;844;1478;844;1482;849;1482;849;1478
B;956;2029;956;2056;976;2056;976;2029
A;875;2100;875;2102;876;2102;876;2100
A;728;2478;728;2478;728;2478;728;2478
A;814;2487;814;2489;816;2489;816;2487
A;987;2607;987;2607;989;2607;989;2607
