name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;85;0;220;3059;1385;3059;922;0
header;94;158;94;194;1724;194;1724;158
A;152;49;152;53;157;53;157;49
A;370;198;370;200;374;200;374;198
A;899;223;899;252;921;252;921;223
A;634;886;634;886;634;886;634;886
B;899;907;899;937;923;937;923;907
B;938;914;938;942;956;942;956;914
A;362;1382;362;1389;370;1389;370;1382
A;899;1464;899;1464;900;1464;900;1464
C;903;1581;903;1610;925;1610;925;1581
A;658;1707;658;1713;664;1713;664;1707
B;943;1893;943;1912;976;1912;976;1893
D;910;2256;910;2283;933;2283;933;2256
A;826;2523;826;2524;826;2524;826;2523
A;750;2681;750;2689;758;2689;758;2681
